incident_type,severity,affected_people,injured_people,trapped_people,vulnerable_people,children_count,elderly_count,waiting_time_hours,priority_level
Medical,high,168,47,0,16,48,2,42.3,critical
Chemical Spill,critical,310,0,0,40,7,10,23.1,high
Chemical Spill,critical,484,323,377,14,164,0,19.7,critical
Structural Collapse,low,5,0,3,0,1,0,1.9,medium
Structural Collapse,high,50,5,7,7,2,3,43.8,critical
Flood,low,42,8,0,11,4,8,18.4,high
Structural Collapse,medium,14,11,3,2,5,1,34.5,high
Structural Collapse,critical,212,60,0,4,52,36,5.7,critical
Medical,critical,153,67,0,15,30,20,15.3,critical
Flood,low,37,0,0,10,2,7,20.2,low
Flood,low,12,0,0,2,4,2,36.6,low
Earthquake,low,33,12,0,7,5,6,26.4,high
Flood,critical,466,26,0,139,8,91,41.7,critical
Medical,low,5,3,0,0,2,1,39.2,low
Earthquake,critical,127,0,0,16,17,13,37.7,high
Medical,medium,10,1,0,2,3,0,28.2,medium
Chemical Spill,critical,112,0,0,25,39,8,22.0,high
Chemical Spill,medium,23,0,13,4,9,1,23.3,high
Chemical Spill,critical,284,278,250,53,79,0,4.6,critical
Structural Collapse,low,31,18,12,0,0,5,12.1,critical
Flood,low,37,0,32,4,11,2,21.8,critical
Chemical Spill,low,11,3,0,1,3,1,22.4,low
Chemical Spill,high,34,10,0,8,6,5,5.3,high
Medical,critical,338,0,0,27,59,2,33.4,high
Flood,medium,27,0,0,7,4,3,7.7,low
Earthquake,high,130,0,0,27,43,11,11.6,high
Medical,medium,40,0,0,0,9,5,46.1,medium
Chemical Spill,low,15,0,0,2,4,0,13.5,low
Earthquake,critical,379,180,0,68,46,73,26.2,critical
Flood,low,7,7,0,0,2,0,3.6,low
Medical,medium,2,0,0,0,0,0,47.8,medium
Flood,medium,5,0,4,1,2,0,26.8,high
Fire,critical,359,82,0,37,86,52,32.3,critical
Earthquake,high,62,0,0,2,15,5,2.0,low
Earthquake,critical,315,0,0,36,77,59,5.6,high
Fire,medium,3,3,0,0,1,0,34.9,medium
Fire,critical,416,395,0,43,142,48,19.8,critical
Fire,medium,5,3,0,1,2,0,32.9,medium
Chemical Spill,critical,20,0,0,5,2,3,6.7,medium
Flood,low,8,0,0,2,3,1,22.8,low
Earthquake,low,27,27,3,0,9,1,1.8,high
Chemical Spill,high,191,114,0,21,29,37,47.0,critical
Structural Collapse,critical,251,42,0,51,100,11,38.6,critical
Flood,low,14,0,4,3,3,0,1.2,low
Chemical Spill,low,44,11,0,7,9,0,19.0,high
Flood,critical,493,154,0,85,30,2,4.2,critical
Earthquake,low,22,7,0,1,7,0,36.2,high
Fire,medium,14,13,0,3,4,1,8.1,high
Fire,high,160,0,0,20,31,7,13.7,high
Chemical Spill,low,26,0,19,7,0,0,2.1,medium
Flood,low,38,20,0,6,6,6,43.3,high
Earthquake,low,39,0,31,11,8,6,13.7,critical
Structural Collapse,critical,185,52,0,9,17,34,2.1,critical
Medical,medium,31,0,0,1,8,3,35.6,medium
Earthquake,low,49,0,0,11,7,8,35.7,low
Flood,critical,341,9,0,84,130,43,19.4,critical
Earthquake,low,45,4,0,9,15,4,22.7,medium
Chemical Spill,low,12,0,0,2,3,0,18.8,low
Earthquake,low,0,0,0,0,0,0,43.0,low
Structural Collapse,low,17,6,0,5,0,2,28.9,medium
Chemical Spill,low,8,0,8,0,0,1,43.8,high
Earthquake,medium,11,0,0,2,1,2,2.2,low
Chemical Spill,medium,4,2,0,1,0,0,14.2,medium
Medical,low,3,2,1,0,0,0,45.4,low
Chemical Spill,critical,468,124,0,130,20,77,41.3,critical
Structural Collapse,low,18,0,0,0,6,2,29.5,low
Fire,low,11,0,0,0,3,2,8.4,low
Fire,critical,483,0,0,73,46,75,40.9,high
Medical,high,173,0,18,15,0,1,35.9,high
Medical,medium,30,27,0,4,4,5,14.8,critical
Structural Collapse,critical,229,204,0,41,21,38,44.4,critical
Fire,high,198,0,0,58,15,20,48.0,high
Earthquake,low,16,2,0,0,1,3,33.3,low
Earthquake,medium,33,12,0,3,5,5,5.7,high
Medical,critical,327,9,233,86,10,61,6.4,critical
Medical,medium,23,0,0,5,2,0,4.1,low
Structural Collapse,critical,473,0,0,21,65,20,10.5,high
Earthquake,low,10,6,0,0,0,2,22.1,low
Medical,high,55,0,0,5,5,5,37.4,medium
Earthquake,low,32,23,23,1,7,2,34.7,critical
Flood,high,64,1,0,15,11,4,43.2,high
Earthquake,critical,344,21,29,62,3,58,37.2,critical
Fire,low,29,19,0,3,2,2,47.7,high
Fire,high,19,8,0,1,4,0,37.2,medium
Fire,critical,63,45,0,6,7,7,26.3,critical
Earthquake,high,20,15,0,5,5,4,35.3,critical
Medical,medium,38,0,2,8,1,6,8.7,medium
Chemical Spill,low,45,7,0,13,18,3,13.1,high
Fire,low,1,0,1,0,0,0,35.9,high
Structural Collapse,low,28,18,0,3,2,4,20.8,high
Chemical Spill,low,20,0,3,4,1,3,30.9,low
Medical,high,14,8,0,0,4,1,15.1,medium
Earthquake,critical,141,0,0,13,52,15,46.3,high
Structural Collapse,high,138,0,0,7,30,15,25.5,high
Chemical Spill,medium,38,0,0,10,11,3,3.3,low
Medical,medium,4,0,0,1,0,0,1.5,low
Structural Collapse,low,1,0,0,0,0,0,43.5,low
Earthquake,low,35,0,0,5,6,3,27.1,low
Medical,low,40,0,4,0,13,8,39.8,low
Flood,low,26,21,1,0,4,5,41.7,high
Structural Collapse,low,35,0,26,4,11,5,30.0,high
Chemical Spill,high,17,0,0,0,5,3,38.9,medium
Flood,high,85,0,0,18,16,15,10.6,medium
Medical,low,24,19,24,1,0,4,5.5,critical
Earthquake,medium,36,13,0,2,6,0,9.1,high
Earthquake,low,10,4,3,3,4,1,6.1,medium
Earthquake,high,105,0,10,30,24,18,6.2,medium
Flood,critical,37,0,0,0,11,2,2.6,medium
Earthquake,low,7,0,0,1,1,1,33.0,low
Medical,critical,155,91,0,2,50,14,0.2,critical
Fire,high,182,49,100,8,64,3,21.4,critical
Structural Collapse,medium,38,0,0,3,9,3,21.7,medium
Flood,low,5,0,3,1,2,1,44.7,high
Fire,low,12,6,0,1,4,1,28.5,medium
Flood,low,0,0,0,0,0,0,1.8,low
Flood,low,31,0,0,0,8,5,44.1,low
Medical,critical,427,0,0,122,46,24,5.9,high
Medical,high,187,0,0,28,68,6,20.9,high
Chemical Spill,medium,23,12,0,5,8,0,14.3,high
Medical,critical,230,210,144,9,12,26,33.9,critical
Flood,high,182,51,48,35,59,15,30.8,critical
Earthquake,low,37,0,0,1,11,2,14.1,low
Fire,medium,0,0,0,0,0,0,16.7,medium
Chemical Spill,medium,40,1,0,5,6,3,23.6,high
Flood,critical,31,0,23,8,12,6,24.1,critical
Medical,high,91,0,0,4,34,16,9.8,medium
Fire,critical,333,0,0,38,72,18,8.2,high
Fire,medium,47,0,0,13,6,7,25.1,medium
Structural Collapse,low,31,0,17,3,1,6,28.3,medium
Structural Collapse,low,36,28,0,2,4,2,39.0,critical
Chemical Spill,critical,27,0,0,4,7,5,35.0,medium
Structural Collapse,low,44,41,0,3,6,8,20.7,critical
Fire,high,54,25,39,1,16,9,44.2,critical
Fire,high,117,96,0,35,16,6,17.2,critical
Flood,high,69,0,0,17,25,7,11.5,medium
Chemical Spill,medium,43,0,0,11,8,5,27.6,medium
Medical,medium,40,14,1,10,10,7,30.4,high
Fire,low,24,0,0,1,5,4,37.2,low
Flood,low,30,3,0,5,4,6,31.8,medium
Medical,medium,39,3,14,3,11,3,44.8,critical
Earthquake,medium,3,1,0,0,1,0,39.6,medium
Medical,medium,43,0,0,0,9,8,34.3,medium
Structural Collapse,critical,437,0,0,129,108,53,45.0,high
Fire,medium,38,38,0,10,0,2,2.2,critical
Fire,high,107,39,0,28,35,5,20.5,critical
Medical,medium,0,0,0,0,0,0,6.3,low
Structural Collapse,low,1,0,0,0,0,0,17.5,low
Fire,medium,4,4,0,1,0,0,40.8,medium
Medical,high,85,68,68,19,15,8,27.4,critical
Structural Collapse,critical,13,0,0,1,1,1,17.1,medium
Chemical Spill,low,15,0,0,4,5,2,16.6,low
Chemical Spill,high,132,30,125,13,27,20,3.0,critical
Chemical Spill,critical,94,42,3,6,11,12,25.1,critical
Fire,critical,215,0,0,54,69,30,17.5,high
Earthquake,critical,368,341,0,80,111,61,10.9,critical
Structural Collapse,medium,14,7,0,1,5,0,10.1,high
Fire,medium,43,0,2,6,10,1,18.4,medium
Structural Collapse,medium,6,0,0,0,0,0,30.5,medium
Chemical Spill,low,46,0,0,7,9,9,25.3,low
Earthquake,medium,0,0,0,0,0,0,6.6,low
Fire,low,9,3,0,0,3,1,28.2,low
Flood,low,6,4,0,0,2,1,37.9,low
Chemical Spill,critical,412,0,0,120,15,10,33.8,high
Flood,critical,18,18,0,0,2,3,44.0,high
Fire,low,16,0,0,4,1,3,18.6,low
Earthquake,critical,42,23,19,0,7,6,26.0,critical
Fire,low,2,0,1,0,0,0,31.4,low
Flood,low,18,0,0,5,2,3,15.2,low
Chemical Spill,low,35,20,0,3,7,1,1.5,high
Earthquake,low,27,0,0,0,10,4,7.6,low
Earthquake,low,15,0,0,2,0,2,3.0,low
Chemical Spill,medium,38,0,0,11,15,7,8.5,low
Chemical Spill,high,20,4,0,2,8,2,33.8,high
Medical,high,85,0,70,21,0,14,25.8,critical
Fire,medium,41,0,0,11,6,8,29.9,medium
Chemical Spill,low,26,0,0,5,0,5,1.9,low
Fire,medium,33,0,0,3,10,5,2.8,low
Earthquake,low,43,0,0,1,2,0,47.4,low
Flood,low,1,1,0,0,0,0,1.6,low
Chemical Spill,low,16,16,4,2,4,0,24.6,high
Flood,critical,261,178,0,3,19,20,6.2,critical
Medical,low,32,0,3,5,0,5,15.5,low
Chemical Spill,low,7,0,0,0,0,1,31.8,low
Earthquake,medium,49,40,0,10,5,5,1.1,critical
Fire,critical,82,51,70,1,22,6,46.9,critical
Earthquake,critical,352,0,305,7,133,68,45.1,critical
Earthquake,medium,20,0,0,3,0,4,36.8,medium
Chemical Spill,low,29,18,0,3,2,5,17.4,high
Chemical Spill,high,175,99,67,4,36,7,31.3,critical
Structural Collapse,low,31,12,14,7,10,1,24.8,critical
Medical,high,122,0,0,3,6,23,2.8,medium
Fire,medium,13,0,0,2,0,1,3.5,low
Structural Collapse,high,36,9,0,4,14,3,16.0,high
Flood,high,110,0,0,23,9,13,44.8,high
Earthquake,critical,82,0,49,20,28,4,36.9,critical
Flood,critical,380,0,0,104,30,24,38.6,high
Fire,high,137,47,0,26,39,12,22.6,critical
Structural Collapse,critical,309,0,0,78,102,43,1.3,medium
Fire,low,27,17,0,3,9,4,32.6,high
Flood,low,0,0,0,0,0,0,5.1,low
Structural Collapse,medium,0,0,0,0,0,0,0.3,low
Fire,medium,41,0,11,3,4,1,22.8,medium
Earthquake,high,132,0,0,32,23,20,38.1,high
Earthquake,high,53,0,0,6,2,3,4.6,medium
Structural Collapse,low,6,0,1,1,0,0,15.7,low
Flood,low,12,0,0,2,1,2,4.9,low
Medical,high,27,10,27,1,0,0,45.4,critical
Chemical Spill,medium,27,0,0,6,9,4,5.9,low
Fire,medium,46,15,0,2,11,8,26.6,high
Fire,low,36,1,11,4,4,6,43.1,high
Medical,high,141,0,0,8,8,4,39.0,high
Medical,low,8,4,7,2,3,1,39.4,critical
Medical,low,19,0,0,4,7,2,17.5,low
Flood,medium,21,21,0,1,6,4,5.8,critical
Structural Collapse,medium,45,4,18,5,10,4,13.9,critical
Chemical Spill,high,46,0,8,10,1,5,21.1,high
Structural Collapse,low,12,1,3,0,4,0,44.7,low
Earthquake,medium,40,12,22,11,16,1,43.0,critical
Flood,high,160,150,3,2,60,31,0.7,critical
Medical,critical,91,0,0,7,33,8,11.7,medium
Flood,medium,34,0,3,2,8,6,4.6,low
Fire,critical,55,0,0,0,15,10,17.4,medium
Fire,high,77,40,0,14,21,14,29.5,critical
Fire,low,10,7,0,3,2,0,9.2,low
Earthquake,high,69,5,0,14,19,13,24.5,high
Fire,low,23,22,14,0,0,3,2.7,critical
Medical,medium,26,15,6,2,4,0,27.3,critical
Earthquake,medium,30,0,0,2,0,3,36.9,medium
Structural Collapse,medium,1,1,0,0,0,0,10.8,medium
Fire,medium,42,42,0,4,9,3,43.2,critical
Chemical Spill,low,32,31,0,9,2,6,15.7,critical
Medical,medium,23,0,14,4,5,0,27.4,high
Chemical Spill,critical,34,0,0,10,0,6,24.9,medium
Earthquake,medium,37,0,5,1,7,7,12.7,medium
Medical,critical,100,0,0,28,27,15,47.9,medium
Fire,medium,15,0,14,2,1,0,13.9,critical
Chemical Spill,low,35,0,0,2,6,6,7.0,low
Fire,medium,23,0,0,1,7,1,39.6,medium
Structural Collapse,medium,6,0,2,0,2,1,26.2,medium
Fire,low,41,12,40,5,14,4,42.8,critical
Structural Collapse,low,22,21,0,0,2,2,39.6,medium
Chemical Spill,low,18,0,0,2,4,0,1.2,low
Earthquake,low,6,0,6,0,2,0,36.0,high
Flood,medium,17,0,5,2,4,2,0.3,low
Earthquake,low,38,12,0,11,4,3,24.1,high
Chemical Spill,critical,386,41,0,111,145,49,21.4,critical
Chemical Spill,critical,360,115,0,108,13,34,16.1,critical
Structural Collapse,medium,7,3,0,1,2,0,6.3,low
Earthquake,medium,6,6,0,0,0,0,3.7,low
Earthquake,high,95,0,0,19,9,12,37.6,medium
Structural Collapse,low,36,0,0,1,10,5,3.8,low
Chemical Spill,medium,43,0,20,6,0,2,26.2,high
Earthquake,low,14,13,0,4,5,1,25.5,high
Fire,medium,27,12,0,8,9,4,42.1,high
Medical,high,60,0,0,17,24,3,30.1,medium
Chemical Spill,low,2,0,0,0,0,0,42.4,low
Chemical Spill,low,14,0,0,3,2,0,28.4,low
Earthquake,medium,13,0,7,0,3,0,1.1,high
Structural Collapse,critical,346,0,0,73,137,56,28.9,high
Medical,low,49,0,0,9,10,7,27.6,low
Chemical Spill,low,43,0,0,7,0,8,13.2,low
Fire,critical,378,0,0,34,96,20,43.2,high
Flood,low,19,0,5,1,4,2,20.7,medium
Earthquake,medium,8,0,0,2,2,1,37.1,medium
Fire,low,24,0,0,5,6,4,15.7,low
Fire,low,27,17,0,1,7,3,20.6,high
Structural Collapse,medium,11,5,0,2,2,1,47.1,medium
Chemical Spill,medium,13,0,0,0,4,0,33.7,medium
Structural Collapse,high,123,120,0,18,46,19,5.4,critical
Earthquake,critical,389,0,289,55,155,36,31.0,critical
Medical,high,93,38,27,13,15,11,5.3,critical
Structural Collapse,critical,488,0,0,113,51,33,34.8,high
Medical,high,124,124,0,24,8,3,27.8,critical
Chemical Spill,high,145,0,8,3,38,23,8.2,medium
Fire,critical,102,52,51,30,8,20,32.8,critical
Fire,critical,394,310,0,91,94,4,47.8,critical
Chemical Spill,critical,237,122,172,24,77,10,47.5,critical
Chemical Spill,medium,0,0,0,0,0,0,0.7,low
Earthquake,medium,38,0,0,10,2,3,38.3,medium
Earthquake,low,17,7,0,0,0,3,4.6,low
Flood,high,157,0,0,5,17,9,21.2,high
Fire,critical,54,0,0,14,4,5,34.2,medium
Structural Collapse,low,25,9,0,4,4,4,12.8,high
Structural Collapse,low,16,0,0,2,6,2,14.4,low
Chemical Spill,low,6,6,0,0,1,1,32.9,low
Structural Collapse,critical,20,0,0,3,4,4,22.8,medium
Flood,medium,11,0,0,1,2,0,44.7,medium
Earthquake,medium,27,0,0,7,1,1,34.0,medium
Structural Collapse,low,24,0,4,3,3,2,43.4,low
Earthquake,high,166,44,0,1,14,14,20.1,critical
Flood,high,19,0,2,5,5,1,43.0,medium
Medical,high,17,8,0,5,1,1,40.3,high
Fire,high,117,0,0,30,10,3,46.3,high
Flood,high,40,0,0,4,10,7,28.0,medium
Earthquake,high,162,130,121,20,48,21,8.3,critical
Fire,low,49,36,0,13,16,2,25.1,critical
Fire,low,6,6,4,0,1,1,26.1,high
Structural Collapse,low,3,0,0,0,0,0,7.5,low
Medical,low,5,3,0,0,2,0,1.4,low
Chemical Spill,medium,5,0,0,1,1,1,17.6,medium
Medical,critical,187,0,6,5,14,17,35.2,high
Medical,medium,24,0,0,3,0,4,32.0,medium
Earthquake,high,60,46,0,1,21,4,44.7,critical
Chemical Spill,medium,12,0,12,3,1,1,15.5,critical
Fire,critical,124,0,0,30,10,22,12.4,high
Structural Collapse,critical,311,0,0,2,93,5,21.4,high
Structural Collapse,low,22,0,21,3,3,2,37.8,high
Earthquake,medium,40,0,0,3,8,4,28.9,medium
Chemical Spill,medium,43,0,0,12,16,2,40.0,medium
Medical,critical,389,142,0,96,23,26,39.9,critical
Chemical Spill,low,16,0,0,2,6,2,5.6,low
Fire,medium,11,5,3,2,1,0,19.4,medium
Structural Collapse,high,137,0,0,40,43,5,18.6,high
Fire,critical,17,0,15,2,4,3,38.3,critical
Structural Collapse,high,51,24,0,9,17,10,2.2,critical
Structural Collapse,low,30,0,0,8,9,4,27.1,low
Earthquake,low,42,0,0,0,1,8,42.7,low
Structural Collapse,high,106,0,0,7,5,8,9.8,medium
Earthquake,medium,37,19,0,6,5,2,31.4,critical
Medical,high,5,0,0,0,2,1,39.4,medium
Earthquake,critical,398,136,0,97,35,19,35.7,critical
Chemical Spill,low,24,0,0,6,9,3,34.5,low
Fire,critical,479,0,257,126,134,25,40.8,critical
Medical,low,27,0,6,4,1,5,47.3,medium
Flood,high,97,79,27,15,37,13,47.9,critical
Earthquake,critical,469,457,94,22,142,25,33.0,critical
Earthquake,critical,254,0,0,13,99,4,15.6,high
Medical,high,91,0,0,8,2,12,16.7,medium
Fire,critical,161,0,0,7,47,11,17.5,high
Medical,medium,8,6,0,2,0,0,38.2,medium
Structural Collapse,high,166,0,8,49,3,1,19.9,high
Medical,medium,23,0,0,2,1,4,26.0,medium
Chemical Spill,medium,4,3,0,0,0,0,22.9,medium
Chemical Spill,high,73,0,0,2,11,1,22.7,medium
Chemical Spill,low,23,0,0,5,8,1,19.3,low
Structural Collapse,critical,222,206,179,26,49,30,23.4,critical
Structural Collapse,medium,10,0,0,0,3,1,33.6,medium
Flood,critical,228,195,0,7,48,23,2.7,critical
Earthquake,medium,38,0,0,9,4,0,3.6,low
Structural Collapse,low,41,7,0,3,14,0,22.0,high
Structural Collapse,high,122,33,80,2,43,13,12.6,critical
Medical,low,36,0,0,4,2,6,9.0,low
Fire,low,4,2,0,0,0,0,46.1,low
Earthquake,low,16,0,0,2,4,0,34.4,low
Fire,high,68,0,53,12,14,11,1.8,critical
Fire,high,87,0,0,17,8,3,13.7,medium
Chemical Spill,medium,42,42,0,2,14,8,22.1,critical
Chemical Spill,high,170,79,0,7,43,19,26.8,critical
Fire,low,46,0,14,7,3,0,43.8,medium
Flood,high,193,0,0,10,61,1,28.6,high
Earthquake,medium,43,0,0,4,15,0,4.2,low
Chemical Spill,critical,197,0,0,10,75,38,8.3,high
Medical,medium,15,0,3,0,5,3,29.1,medium
Medical,high,100,61,0,8,3,16,5.4,critical
Chemical Spill,medium,12,0,0,0,4,2,25.1,medium
Flood,medium,22,4,0,5,1,4,47.8,high
Flood,critical,426,389,0,22,87,25,47.8,critical
Chemical Spill,medium,45,7,23,3,13,4,25.1,critical
Earthquake,critical,453,186,363,7,176,41,25.0,critical
Chemical Spill,low,0,0,0,0,0,0,36.1,low
Fire,medium,20,0,0,1,8,4,6.4,low
Medical,critical,187,0,0,23,74,16,22.2,high
Chemical Spill,medium,41,0,8,10,1,2,41.7,medium
Medical,low,2,0,0,0,0,0,39.6,low
Structural Collapse,medium,40,5,0,12,1,7,23.0,high
Flood,medium,33,0,22,6,11,1,41.6,high
Medical,critical,13,1,0,2,3,0,42.2,medium
Flood,medium,15,0,0,3,2,1,23.7,medium
Flood,critical,440,25,69,36,149,6,45.1,critical
Flood,low,2,2,0,0,0,0,39.9,low
